Text,gold_ner,gold_re,wx_ner,gpt_re
5董卓以其弟旻为左将军，兄子璜为中军校尉，皆典兵事，宗族内外并列朝廷。,"{'人物': ['董卓', '旻', '璜'], '职官': ['左将军', '中军校尉']}","{'其他': [['董卓', '璜']], '任职': [['璜', '中军校尉'], ['旻', '左将军']], '兄弟': [['董卓', '旻']]}","{'人物': ['旻', '璜', '董卓'], '职官': ['左将军', '中军校尉']}","{'任职': [['旻', '左将军'], ['璜', '中军校尉']]}"
坚所举孝廉长沙桓阶诣表请坚丧，表义而许之。坚兄子贲率其士众就袁术，术复表贲为豫州刺史。,"{'人物': ['坚', '桓阶', '表', '坚', '表', '坚', '贲', '袁术', '术', '贲'], '地点': ['长沙', '豫州'], '职官': ['刺史']}","{'其他': [['坚', '贲']], '任职': [['贲', '刺史']], '生于地点': [['桓阶', '长沙']], '政治奥援': [['术', '贲'], ['贲', '袁术'], ['坚', '桓阶']], '请求': [['桓阶', '表']], '管理': [['贲', '豫州']]}","{'人物': ['坚', '贲', '桓阶', '术', '表'], '职官': ['刺史'], '地点': ['豫州', '长沙']}","{'生于地点': [['桓阶', '长沙']], '管理': [['贲', '豫州']], '任职': [['贲', '刺史']], '政治奥援': [['术', '贲']]}"
裴松之曰：承，灵帝母董太后之姪，于献帝为丈人；盖古无丈人之名，故谓之舅也。,"{'人物': ['裴松之', '承', '灵帝', '董太后', '献帝']}","{'其他': [['承', '献帝'], ['董太后', '承']], '母': [['董太后', '灵帝']]}","{'人物': ['承', '董太后', '裴松之', '献帝', '灵帝'], '职官': ['丈人']}","{'任职': [['献帝', '丈人']], '其他': [['承', '献帝']], '夫妻': [['承', '董太后']]}"
初，涿郡刘备，中山靖王之后也，蜀书云：备，中山靖王胜子陆城亭侯贞之后；然自祖父以上，世系不可攷。少孤贫，与母以贩履为业，少，诗照翻。长七尺五寸，垂手下䣛，顾自见其耳；长，直亮翻。䣛，与膝同。言其有异相也。有大志，少语言，喜怒不形于色。少，诗沼翻。尝与公孙瓒同师事卢植，由是往依瓒。,"{'地点': ['涿郡'], '人物': ['刘备', '中山靖王', '备', '中山靖王胜', '陆城亭侯贞', '公孙瓒', '卢植', '瓒'], '书籍': ['蜀书']}","{'其他': [['卢植', '公孙瓒'], ['公孙瓒', '刘备'], ['卢植', '刘备']], '生于地点': [['刘备', '涿郡']], '父': [['中山靖王胜', '陆城亭侯贞']], '祖孙': [['中山靖王', '刘备'], ['陆城亭侯贞', '备']], '投靠': [['刘备', '瓒']]}","{'人物': ['刘备', '中山靖王', '卢植', '瓒', '中山靖王胜', '陆城亭侯贞'], '地点': ['涿郡'], '书籍': ['蜀书']}","{'生于地点': [['刘备', '涿郡']], '父': [['中山靖王胜', '陆城亭侯贞'], ['中山靖王胜', '贞'], ['备', '贞'], ['中山靖王胜', '备']], '任职': [['贞', '陆城亭侯贞']], '祖孙': [['刘备', '中山靖王']]}"
前后遣殷署、朱盖等凡十二营诣晃。,"{'人物': ['殷署', '朱盖', '晃']}","{'救援': [['殷署', '晃'], ['朱盖', '晃']]}","{'人物': ['晃', '朱盖', '殷署']}","{'见面': [['朱盖', '晃'], ['殷署', '晃']]}"
备挑郃战，郃军不利。渊分兵半助郃，为备所袭，战死。,"{'人物': ['备', '郃', '郃', '渊', '郃', '备']}","{'救援': [['渊', '郃']], '攻伐': [['渊', '备'], ['备', '郃']]}","{'人物': ['备', '郃', '备', '郃', '郃', '渊'], '地点': [], '时间': [], '职官': [], '书籍': [], '团体': []}","{'任职': [], '到达': [], '属地': [], '攻伐': [['备', '郃']], '管理': [], '位于': [], '派遣': [], '生于地点': [], '政治奥援': [], '封': [], '父': [], '交谈': [], '杀': [], '作者': [], '打败': [], '别名': [], '同僚': [], '地点别名': [], '兄弟': [], '旧属': [], '见面': [], '设置': [], '投靠': [], '祖孙': [], '隶属于': [], '合作': [], '离开': [], '请求': [], '游历': [], '归附': [], '救援': [], '治所': [], '修建': [], '死于时间': [], '母': [], '害怕': [], '夫妻': [], '旧臣': [], '死于地点': []}"
会邦昌遣使迎王次第白子崧，子崧卽贻王书曰：“似闻谓以京师残破，不可复入，止欲卽位军中，便图迁徙，臣窃惑焉。,"{'人物': ['邦昌', '子崧', '子崧', '王']}","{'交谈': [['子崧', '王']]}","{'人物': ['子崧', '邦昌', '王'], '地点': ['京师']}",{}
顷之，蕃谋作乱于吴，事觉，亡走，捕得，伏诛。吴主切责郝普，普惶惧，自杀。,"{'人物': ['蕃', '吴主', '郝普', '普'], '团体': ['吴']}","{'其他': [['吴主', '郝普']]}","{'人物': ['蕃', '郝普', '普', '吴主'], '地点': ['吴']}","{'其他': [['吴主', '郝普']]}"
礼记檀弓：曾子责子夏曰：吾与子事夫子于洙、泗之间，退归老于西河之上，使西河之人疑汝于夫子，而罪一也。,"{'书籍': ['礼记', '檀弓'], '人物': ['曾子', '子夏'], '地点': ['洙', '泗', '西河', '西河']}","{'其他': [['曾子', '子夏']]}","{'人物': [['曾子', 1.0], ['子夏', 1.0], ['夫子', 1.0]], '地点': [['洙', 1.0], ['泗', 1.0], ['西河', 1.0]], '书籍': [['礼记檀弓', 1.0]]}","{'其他': [['曾子', '子夏']], '归附': [['曾子', '夫子']]}"
」操疑融所论建渐广，益惮之。,"{'人物': ['操', '融']}","{'其他': [['操', '融']]}","{'人物': ['融', '操'], '物': ['建']}","{'其他': [['操', '融'], ['操', '建']]}"
日磾颇有求于术，术侵侮之，从日磾借节视之，因夺不还，条军中十馀人，使促辟之。日磾从术求去，术留不遣，又欲逼为军师；日磾病其失节，呕血而死。,"{'人物': ['日磾', '术', '术', '日磾', '日磾', '术', '术', '日磾']}","{'其他': [['术', '日磾'], ['术', '日磾'], ['术', '日磾']], '请求': [['日磾', '术']]}","{'人物': ['术', '日磾', '日磾', '日磾', '术', '日磾', '术', '术']}",{'其他': []}
建安六年，刘璋分巴，以永宁为巴东郡，垫江为巴郡，阆中为巴西郡。,"{'时间': ['建安六年'], '人物': ['刘璋'], '地点': ['巴', '永宁', '巴东郡', '垫江', '巴郡', '阆中', '巴西郡']}","{'其他': [['刘璋', '巴']], '地点别名': [['巴郡', '垫江'], ['巴西郡', '阆中'], ['巴东郡', '永宁']]}","{'地点': ['巴东郡', '巴西郡', '巴郡', '阆中', '垫江', '永宁', '巴'], '时间': ['建安六年'], '人物': ['刘璋']}","{'设置': [['刘璋', '巴东郡'], ['刘璋', '巴西郡']], '地点别名': [['阆中', '巴西郡'], ['永宁', '巴东郡']], '其他': [['刘璋', '巴']]}"
